"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2023","79.59","79.33","80.23","78.67","","0.16%"
"07/19/2023","79.46","79.84","80.93","79.17","311.44K","-0.21%"
"07/18/2023","79.63","78.52","79.99","78.19","366.47K","1.44%"
"07/17/2023","78.50","79.36","80.64","78.25","341.16K","-1.72%"
"07/14/2023","79.87","81.64","81.70","79.53","311.23K","-1.83%"
"07/13/2023","81.36","80.19","81.75","79.88","416.12K","1.56%"
"07/12/2023","80.11","79.32","80.55","79.21","362.33K","0.89%"
"07/11/2023","79.40","77.82","79.50","77.63","333.84K","2.20%"
"07/10/2023","77.69","78.60","78.77","77.36","288.40K","-0.99%"
"07/07/2023","78.47","76.52","78.54","76.03","331.53K","2.55%"
"07/06/2023","76.52","76.70","77.09","75.03","0.43K","-0.17%"
"07/05/2023","76.65","76.03","76.95","75.30","293.74K","0.52%"
"07/04/2023","76.25","74.89","76.29","74.74","157.96K","2.14%"
"07/03/2023","74.65","75.11","76.60","74.56","328.00K","-0.33%"
"06/30/2023","74.90","74.22","75.40","74.21","14.70K","0.75%"
"06/29/2023","74.34","73.72","74.98","73.39","72.87K","0.42%"
"06/28/2023","74.03","72.62","74.20","71.57","91.45K","2.45%"
"06/27/2023","72.26","74.28","74.90","72.08","161.15K","-2.59%"
"06/26/2023","74.18","74.50","74.85","73.42","150.17K","0.45%"
"06/23/2023","73.85","74.02","74.44","72.11","169.54K","-0.39%"
"06/22/2023","74.14","77.03","77.20","73.59","329.53K","-3.86%"
"06/21/2023","77.12","75.54","77.24","75.52","236.55K","1.61%"
"06/20/2023","75.90","76.12","77.15","74.51","276.38K","-0.25%"
"06/19/2023","76.09","76.40","76.93","75.34","141.42K","-0.68%"
"06/16/2023","76.61","75.64","76.74","75.08","256.25K","1.24%"
"06/15/2023","75.67","73.41","75.97","72.91","260.41K","3.37%"
"06/14/2023","73.20","74.05","75.49","73.03","318.37K","-1.47%"
"06/13/2023","74.29","72.11","74.66","71.94","321.15K","3.41%"
"06/12/2023","71.84","74.87","74.87","71.58","358.50K","-3.94%"
"06/09/2023","74.79","75.53","76.57","74.71","260.20K","-1.54%"
"06/08/2023","75.96","76.80","77.68","73.58","393.89K","-1.29%"
"06/07/2023","76.95","76.22","77.64","75.51","325.63K","0.87%"
"06/06/2023","76.29","76.55","76.75","74.72","304.58K","-0.55%"
"06/05/2023","76.71","77.68","78.73","76.31","384.00K","0.76%"
"06/02/2023","76.13","74.28","76.50","74.18","273.54K","2.49%"
"06/01/2023","74.28","72.15","75.25","72.03","349.92K","2.23%"
"05/31/2023","72.66","73.60","73.81","71.39","20.11K","-1.20%"
"05/30/2023","73.54","76.98","77.57","73.20","112.18K","-4.58%"
"05/29/2023","77.07","77.39","77.75","76.15","31.55K","0.16%"
"05/26/2023","76.95","76.09","77.35","75.73","150.62K","0.90%"
"05/25/2023","76.26","78.22","78.50","75.10","237.72K","-2.68%"
"05/24/2023","78.36","77.70","78.66","77.03","285.99K","1.98%"
"05/23/2023","76.84","76.15","77.74","75.65","287.23K","1.12%"
"05/22/2023","75.99","75.63","76.46","74.55","241.96K","0.54%"
