test_day,test_sp,size_train,rmse_train,mae_train,meanreal_train,meanpred_train,resid_train,absresidmean_train,residmean_train,stdresid_train,size_test,rmse_test,mae_test,meanreal_test,meanpred_test,resid_test,absresidmean_test,residmean_test,stdresid_test
2023-06-01,4,223746,26.57575725921939,16.22724544252102,216.01129027849322,216.01129027849322,344.42403941619415,16.22724544252102,0.001539352834989768,0.00011877645729817416,3,2.704164943888495,2.4693450927734375,146.33333333333334,146.5199737548828,-0.5599517822265625,2.4693450927734375,-0.18665059407552084,0.8992385420446148
2023-06-01,10,223769,28.457094498556994,16.865865866180826,216.00326002261912,216.00326002261912,-60.08323849081141,16.865865866180826,-0.00026850563970086074,0.000127171746297701,3,4.626284487526151,4.496404108770264,146.32299795014902,150.8194122314453,-13.489212326310792,4.496404108770264,-4.496404108770264,0.3628373143494649
2023-06-01,16,223793,27.901151674570176,16.726512864642707,215.99354782180336,215.99354782180336,47.056539997089374,16.726512864642707,0.00021026814957209817,0.00012467392489388793,6,13.32719796068089,12.228229747099034,113.9313725490196,110.23424530029297,22.182778751148888,12.228229747099034,3.697129791858148,2.134019660336722
2023-06-01,22,223828,26.750102335928805,16.264366411671432,215.97748537878516,215.97748537878516,-183.64871279186417,16.264366411671432,-0.000820490344334025,0.00011951186769906175,5,5.1509117696432245,4.726138305664063,114.4,111.73057556152344,13.347137451171875,4.726138305664063,2.669427490234375,0.8810459450682491
2023-06-01,25,223842,26.918464794512154,16.248675596547123,215.97105827933422,215.97105827933422,217.38303252893166,16.248675596547123,0.0009711449706903273,0.00012025654156500577,7,8.518439930704249,6.592213185823992,110.73966271556266,114.32878875732422,-25.1239128099091,6.592213185823992,-3.5891304014155856,1.1036300198468523
2023-06-01,31,223866,27.30447862697315,16.46329031269966,215.9594967994951,215.9594967994951,16.07588364609572,16.46329031269966,7.181029565066227e-05,0.00012196795684417786,1,2.9848556518554688,2.9848556518554688,97.0,94.01514434814453,2.9848556518554688,2.9848556518554688,2.9848556518554688,0.0
2023-06-01,37,223919,26.533711204355935,16.126791734711,215.93536547863687,215.93536547863687,-253.11756548644647,16.126791734711,-0.0011303978915831354,0.00011849691710072453,10,11.243480968948395,9.468903951584412,113.92815110895882,118.62117004394531,-46.9302274968376,9.468903951584412,-4.69302274968376,1.021721105635268
2023-06-01,40,223939,27.197747035557324,16.433479989400016,215.92612095982375,215.92612095982375,-62.21678124926322,16.433479989400016,-0.00027782914654674414,0.00012145158741504736,5,17.628532579098074,14.076617736816406,105.755,119.83161926269531,-70.38308868408203,14.076617736816406,-14.076617736816406,2.1223948170297433
2023-06-01,48,223974,27.41701925044278,16.54735624640082,215.90951229438227,215.90951229438227,-134.4042710442411,16.54735624640082,-0.0006000887203153992,0.00012241161582985334,4,46.76387094583812,33.74051094055176,160.75,127.00949096679688,134.96204376220703,33.74051094055176,33.74051094055176,8.09489633700422
2023-06-03,4,224232,26.70632669536763,16.31330974727654,215.79989257876952,215.79989257876952,9.61264980208911,16.31330974727654,4.286921493165452e-05,0.00011910131781071933,3,9.970960917259182,8.225910281023502,130.01334498834498,132.5496368408203,-7.608913704398631,8.225910281023502,-2.536304568132877,3.214329388347995
2023-06-03,10,224251,27.718870875158057,16.57548158203309,215.79312033723895,215.79312033723895,416.53257318450477,16.57548158203309,0.0018574390891716332,0.00012360645354056235,3,69.26652279046282,50.59256533175539,134.57909604519773,185.1716766357422,-151.77769599526616,50.59256533175539,-50.59256533175539,15.770026113674453
2023-06-03,16,224277,26.435684026810502,16.255263142026934,215.78260667350239,215.78260667350239,-379.498722973758,16.255263142026934,-0.0016920982667572718,0.00011787068657355186,6,14.067437246587659,13.327074678100297,112.3838652265117,117.60553741455078,-31.330033128234447,13.327074678100297,-5.221672188039075,2.177070727219267
2023-06-03,22,224324,26.9775779457616,16.23833606333678,215.7611230896731,215.7611230896731,-23.321435154736818,16.23833606333678,-0.00010396317449096799,0.00012026166591876603,7,11.168322751304947,9.014658696835278,109.10611897824843,115.5428466796875,-45.057093910073505,9.014658696835278,-6.4367277014390725,1.3038402429279514
2023-06-03,25,224347,27.449637280967117,16.493519380107227,215.7504076571913,215.7504076571913,29.632211048933982,16.493519380107227,0.00013208204722953395,0.00012235348491688918,9,14.577387788817264,11.232782367420226,107.9600046687621,111.33255004882812,-30.352885532410653,11.232782367420226,-3.372542836934517,1.57576628256435
2023-06-03,31,224397,27.788910304814358,16.67814058375496,215.7266621081668,215.7266621081668,168.64541425509896,16.67814058375496,0.0007515493266628279,0.0001238381542295644,6,10.036587417021517,7.844212841164382,118.25217820090917,118.91485595703125,-3.9760894249159833,7.844212841164382,-0.6626815708193305,1.669114370250908
2023-06-03,37,224446,26.675297543941,16.267460310794142,215.70393594202034,215.70393594202034,-94.76671590207626,16.267460310794142,-0.00042222501582591445,0.00011884951186744004,4,11.20091910326145,9.656976699829102,104.9375,106.4153060913086,-5.911216735839844,9.656976699829102,-1.477804183959961,2.7757508393189503
2023-06-03,40,224467,27.06312672198771,16.38507184421364,215.6933961849271,215.6933961849271,-273.9404974313927,16.38507184421364,-0.0012204043241589005,0.00012056617094927454,3,16.041465543900856,15.088401794433594,123.5,108.4115982055664,45.26520538330078,15.088401794433594,15.088401794433594,1.815634204651107
2023-06-03,48,224508,27.2972332517673,16.61068481960552,215.67626047183285,215.67626047183285,297.9140556379068,16.61068481960552,0.00132696409766329,0.00012158690656686765,7,18.475179669595306,15.864674578010574,136.19160528561946,132.94334411621094,22.737820556465053,15.864674578010574,3.2482600794950076,2.5981982386535845
