feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
sp6_12_pavgprice,0.003388632,0.003390466,0.0038384588,0.0036480268,0.003457638,0.0030930822,0.003117479,0.003636898,0.0031312525,0.0029700508,0.0028723844,0.0061986586,0.002981478,0.0028787227,0.0028399336,0.002774955
Z13,0.0032349299,0.002241037,0.0026603267,0.0014044766,0.0014684193,0.002216981,0.0027775203,0.0013683373,0.0021224616,0.0019276448,0.0021808953,0.003213716,0.008561559,0.005158891,0.0054381094,0.0057835774
Exempt Export Flag_label,0.00304407,0.0072200643,0.008643859,0.003200102,0.0006592195,0.0011467695,0.0006788581,0.00090378063,0.0011119364,0.0013297055,0.00081751164,0.0066287136,0.0028897198,0.004265596,0.004077035,0.002088182
settPeriod_SIN,0.0029506728,0.0017319042,0.002676053,0.0018192556,0.0017997569,0.0016299993,0.0024240674,0.0019044415,0.0032164622,0.0026338738,0.0017847967,0.0017926937,0.006418437,0.0053012692,0.0035858066,0.0055412743
BrentOil_price,0.0028690572,0.002440645,0.002518485,0.0022157903,0.0032598074,0.0026809298,0.002631317,0.0024638895,0.0032917815,0.0033968473,0.0018371764,0.0029807459,0.0028108973,0.002912193,0.0044256514,0.0031696975
sp6_12_meanvolume,0.002857775,0.0020041268,0.0019318048,0.0030601625,0.003163125,0.0022667202,0.0026538593,0.0019548659,0.0022372548,0.0022998399,0.004038912,0.0050617806,0.002907872,0.003365826,0.0028783767,0.0030421037
Z1,0.002845258,0.0031452791,0.0035413185,0.002522845,0.0018213122,0.002622431,0.0026980038,0.0018868406,0.0028955822,0.0019256149,0.0030730274,0.0028420324,0.0024994828,0.0028062484,0.004587076,0.0038117748
sp3_6_totalvolume,0.002648937,0.0021708664,0.0024733052,0.0022585657,0.0022696124,0.0025071201,0.0017345813,0.0022369125,0.0022161931,0.0018961119,0.0027478603,0.0026667218,0.003939635,0.0025098212,0.00535813,0.0027486186
Z5,0.0025872062,0.0012101955,0.001537011,0.0015584874,0.0030535043,0.020597167,0.0057429424,0.00030520995,0.0004116219,0.0001813119,0.00027956933,0.0008065064,0.00095642306,0.0006144727,0.00035956447,0.0011941062
Z16,0.0025097851,0.0019208615,0.0016067951,0.0012804037,0.0010745616,0.00046311514,0.0016625972,0.003051732,0.005421191,0.0021319794,0.0022014116,0.0010668811,0.0033442096,0.0047570607,0.002848218,0.004815762
DAID_spnDemand,0.0023201206,0.0019897746,0.0019455663,0.0023432614,0.0026232903,0.002215738,0.0016196732,0.0015030237,0.0028695795,0.001975797,0.0020216624,0.0027444244,0.0030280598,0.0026064485,0.0027667563,0.0025487514
BZONE_label,0.002215223,0.0013806946,0.0013613555,0.0015994586,0.0017522655,0.001386148,0.00097025407,0.0015088439,0.0023199618,0.0018012492,0.0010747344,0.0008094136,0.0037695966,0.003669545,0.00524123,0.0045835944
LOC Center LONG,0.0021654353,0.0011440007,0.00096534356,0.0017747212,0.00064721593,0.0017428842,0.0015235394,0.002423446,0.0072578345,0.0013498773,0.0024548057,0.0046552047,0.00086824957,0.0018543383,0.0008841788,0.0029358873
