feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
PC Status_label,0.005533195,0.005521908,0.004384858,0.0052787107,0.006314601,0.0043989867,0.005211026,0.0040813456,0.0048795613,0.0054074693,0.0061074817,0.005423144,0.005783901,0.0070583243,0.006204279,0.006942335
Trading Unit_label,0.0044556204,0.006548262,0.0069064074,0.0070613287,0.0038816507,0.006478964,0.003935566,0.0036009422,0.0030800416,0.00342591,0.0037392045,0.0034437317,0.0036587245,0.0035638434,0.0035815157,0.0039282152
settlementDate_ordin,0.004410842,0.0040476583,0.003991233,0.0044079763,0.0044442816,0.0037582966,0.0047191856,0.0051913746,0.00373783,0.004504113,0.0051283278,0.0039910614,0.004500258,0.0050436044,0.004046854,0.004650578
Z4,0.0042502987,0.004668733,0.0037348291,0.0035239698,0.004282253,0.0041841674,0.0046252715,0.00415925,0.004067141,0.004406194,0.0037651176,0.0047138915,0.0041004727,0.0039551975,0.0041701314,0.0053978665
Z3,0.004220304,0.0023066015,0.003755465,0.003784782,0.0029678736,0.0030906643,0.0026427186,0.0025923955,0.0084802415,0.0068175117,0.0032567298,0.0026838393,0.0039563146,0.010688237,0.003588536,0.0026926454
BrentOil_price,0.004013925,0.0030654864,0.0038778896,0.0032334034,0.0035044902,0.008037345,0.0029291946,0.003988013,0.0033391835,0.004021406,0.004956331,0.0033390427,0.006635854,0.0029020167,0.002885591,0.0034936264
Month_ordin,0.0035240853,0.0038242305,0.003998664,0.0035468386,0.003432629,0.0030589842,0.0034765268,0.0037393041,0.00359151,0.003288534,0.0034247062,0.0027659321,0.0032534515,0.0032531368,0.003775615,0.004431216
Z8,0.0034863886,0.0014137097,0.000635491,0.003121891,0.0026555154,0.0009219776,0.0138068255,0.0007053141,0.0006909075,0.0013381022,0.0039570928,0.0048697325,0.0011269465,0.0051424843,0.0042356965,0.0076741455
DAID_spnDemand,0.003355298,0.003126521,0.0032041403,0.0032646349,0.0028715075,0.0025565298,0.00406735,0.0025261596,0.005746055,0.0023850577,0.0038619908,0.0023369482,0.004328514,0.0028130796,0.003822718,0.0034182607
DANF_Demand,0.003268947,0.0041178814,0.0036644037,0.0048797373,0.0033777538,0.0034541672,0.0013725345,0.0024202592,0.0024322781,0.002386744,0.001692701,0.0038413878,0.005954568,0.0025058202,0.0032372645,0.0036967022
Z5,0.0032655634,0.0040598996,0.0037172444,0.0035288127,0.003881978,0.0037249024,0.0038765655,0.0037932019,0.0036895173,0.003663101,0.0024046882,0.0020871058,0.002735734,0.0023798267,0.0030412944,0.002399577
Solar_Generation,0.003234849,0.0008974171,0.00093268463,0.0007312336,0.0040388387,0.005434769,0.0044086785,0.0038730376,0.0077411425,0.0041557467,0.0039722016,0.0037898764,0.0026638624,0.0040349215,0.0008636729,0.0009846563
Day_ordin,0.0031460098,0.004310159,0.002628067,0.003226928,0.004204866,0.0035018653,0.001731548,0.0046366383,0.003418251,0.004326874,0.0023164942,0.0021928377,0.003691487,0.0024861624,0.002055703,0.0024622632
DAIG_spnGeneration,0.0030660715,0.0066959807,0.006631716,0.0065817297,0.0017231271,0.0064899498,0.0017864654,0.0013119815,0.0028176561,0.001340503,0.0018517972,0.0015348743,0.0024088563,0.0012443885,0.002149802,0.0014222466
sp3_6_meanvolume,0.0030565255,0.0013091734,0.0025102017,0.001461931,0.0019008942,0.0013186417,0.0011992041,0.0014886839,0.0019326826,0.0017311203,0.0053288494,0.00281991,0.0023689126,0.0063395584,0.0071384883,0.0069996305
Coal_price,0.003031996,0.0022822053,0.0021807938,0.0022616636,0.0024335447,0.00196422,0.0064149634,0.0018990663,0.0020910217,0.0020097778,0.0048210467,0.0032760138,0.0034607442,0.0034333917,0.0037075076,0.003243985
Month_SIN,0.0029855086,0.0021131109,0.0020906331,0.0022688734,0.0023308634,0.0026352713,0.0021497044,0.002078233,0.0037705416,0.002119034,0.009971607,0.0035629037,0.0020134225,0.002627255,0.002495121,0.0025560576
Weekday_COS,0.0026716979,0.003544235,0.007837935,0.0028751655,0.0027398663,0.00105964,0.0058860183,0.0008376878,0.0010844338,0.0012314698,0.0015788595,0.0009882314,0.0020514075,0.0018402134,0.003939029,0.0025812716
Z2,0.0025932114,0.003014732,0.0026810076,0.0019248277,0.0037925008,0.0038665952,0.0020242333,0.003151759,0.002491604,0.0025968947,0.0018540111,0.0023079088,0.002858792,0.0025450592,0.002047319,0.0017409258
Day_COS,0.0025752292,0.0012460488,0.001221605,0.0014495509,0.007511067,0.0022253913,0.0022559077,0.006038233,0.0015016124,0.0059033376,0.0014678128,0.0020607552,0.0016444143,0.0012108817,0.0013859943,0.0015058237
Day_SIN,0.0023726104,0.0013445539,0.0011853699,0.0011727918,0.0022125193,0.0012113553,0.0010689737,0.0012361221,0.0036815049,0.0012365052,0.00288296,0.004172974,0.0023189897,0.0041138986,0.0030824856,0.004668151
Weekday_SIN,0.0023625875,0.00097451976,0.00060332095,0.0007888726,0.00085369253,0.0015472173,0.008885483,0.0016371624,0.00067229226,0.00062869693,0.00062605675,0.003707627,0.0045162104,0.0035108307,0.0019558999,0.0045309304
Z11,0.0023268464,0.0007772255,0.0009101685,0.0009855796,0.0009646473,0.0010591068,0.009864219,0.00069875474,0.00085144426,0.00081623887,0.0005814208,0.0013843465,0.0006694775,0.012891905,0.0013020025,0.001146157
DAMargin,0.002300719,0.00291898,0.0042512934,0.002826298,0.0019693647,0.0015246707,0.0015059806,0.001272211,0.0056479466,0.0013404178,0.0013098965,0.0016391322,0.0022210884,0.0020470514,0.0016412965,0.0023951565
BMU GSP Group Name_label,0.002285727,0.0027735054,0.0029015471,0.002910687,0.0025268758,0.0024292974,0.0026291024,0.0031517826,0.0025899084,0.0030296464,0.0018726721,0.0015071484,0.0014178976,0.0014501348,0.0016987008,0.0013970031
BZONE_label,0.0019416851,0.0022661453,0.001986329,0.0020698938,0.0016746452,0.0019157314,0.0020469606,0.002161002,0.0020207926,0.0021373963,0.0018922656,0.0015485418,0.0019470691,0.0023161224,0.0013585282,0.0017838532
DAImbalance,0.0018187943,0.0006850429,0.0031660197,0.0007149192,0.0012808423,0.0010800866,0.0009534277,0.0020316595,0.0011784829,0.0010733982,0.0015388551,0.0016288457,0.0036358268,0.0025570442,0.0034793613,0.0022781016
marketIndexVolume,0.0018027318,0.00048344396,0.00084093737,0.0032182487,0.0009355468,0.00080061617,0.002127646,0.0013682382,0.0007554995,0.0014451458,0.0014748352,0.0011880385,0.003038216,0.0040862295,0.004396528,0.00088180596
settlementPeriod_ordin,0.0016265508,0.0007268859,0.0007432816,0.0008364257,0.000741139,0.0008762386,0.0007738073,0.0016347849,0.0009692282,0.0012623089,0.00094508665,0.0036404696,0.0018577147,0.0038627917,0.0021558094,0.0033722895
sp3_6_totalvolume,0.0015923765,0.0012169812,0.0011231083,0.0011740748,0.002884137,0.001416494,0.0011736702,0.0013217414,0.0018522112,0.001401634,0.0020471294,0.0014633039,0.0014448352,0.002002871,0.0017979748,0.0015654805
Z13,0.0014481752,0.0014976108,0.00119553,0.0013616139,0.0015055764,0.0015563606,0.0012837822,0.0013158937,0.0009835403,0.0014800064,0.0016917402,0.0016399989,0.0010525809,0.0017457233,0.0018750991,0.0015375707
Holiday,0.00141327,0.0017486832,0.0019735794,0.0013297425,0.0021213593,0.0014393188,0.0009937952,0.0014977581,0.0012501414,0.0017170245,0.0016037929,0.0011646919,0.0016499894,0.0008954316,0.00082228513,0.0009914563
DATF_Demand,0.001409976,0.0009942297,0.00087849965,0.0009024843,0.0009735072,0.00084187236,0.0015650436,0.0009159136,0.0011552651,0.00076862413,0.0012403984,0.00554995,0.0010026641,0.001249648,0.0014220396,0.0016894991
