feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
DAImbalance,0.0043637166,0.0016187835,0.0014844994,0.0021572253,0.0029096883,0.0017245845,0.0014125373,0.009468244,0.016984738,0.0025079923,0.0010261078,0.0035438775,0.0093374215,0.0046689482,0.002530632,0.0040804725
BMU GSP Group Name_label,0.004263051,0.0041554347,0.0040118657,0.004642,0.0022834078,0.006235437,0.0045111063,0.00232555,0.0036909764,0.003072213,0.0023200815,0.004295067,0.006817863,0.004425326,0.002977625,0.008181814
settlementDate_ordin,0.004074588,0.0030016208,0.0028221523,0.0033371786,0.0043427013,0.003398811,0.009607269,0.005716203,0.004879555,0.003641615,0.0036598155,0.003479269,0.0036111032,0.0031274897,0.0032882406,0.0032057958
sp6_12_meanvolume,0.0037443002,0.0075622695,0.0039201686,0.003287064,0.0025419586,0.0028583317,0.005934225,0.002930847,0.0037651286,0.0034151722,0.0018687246,0.00249432,0.0062506017,0.004038379,0.0018072805,0.003490034
settlementPeriod_ordin,0.0036222234,0.0023355063,0.0021704687,0.001934145,0.0020484207,0.0019394296,0.001724266,0.00739567,0.0060073263,0.0038946331,0.0028130505,0.002772217,0.005531152,0.0025643576,0.0026295118,0.008573197
DATF_Demand,0.0030139675,0.002177227,0.0018816467,0.0039713914,0.0022522418,0.0040803966,0.0014817272,0.0017158927,0.0029386987,0.0013862012,0.0027932364,0.0028134861,0.008769513,0.001863872,0.0028750757,0.004208906
marketIndexVolume,0.002940268,0.0020951503,0.0011084852,0.0032782077,0.001438369,0.0017857153,0.0059837406,0.0044481982,0.0024974633,0.0018286433,0.0017434089,0.00647932,0.0035196252,0.0013046726,0.0014480598,0.005144966
sp6_12_totalvolume,0.0026353851,0.0012664868,0.0041230842,0.0018077482,0.0012908453,0.0048121316,0.0016549103,0.0017882487,0.0043925713,0.0054359343,0.001078878,0.0014155972,0.0029642712,0.0015437154,0.0031323845,0.0028239663
Weekday_COS,0.0026275916,0.0026842563,0.00057091867,0.0011006724,0.0010036777,0.0018298918,0.0014477804,0.0010982442,0.001940925,0.013135029,0.0064777597,0.003698538,0.0014397287,0.0010392725,0.00045355823,0.0014936205
Holiday,0.0021591256,0.001756793,0.0008481562,0.0009306336,0.0003793238,0.002577882,0.00092565024,0.0010223906,0.002515238,0.001690039,0.0016676686,0.0008466709,0.0013720813,0.00057243457,0.000861108,0.014420812
Month_ordin,0.0021161572,0.0023386553,0.0014486415,0.0043603424,0.0021055087,0.0017229203,0.0016608527,0.001288409,0.0016109574,0.0022747074,0.002036944,0.0018347293,0.0031060306,0.0020045254,0.002006979,0.0019421523
Day_ordin,0.0017603779,0.0020390907,0.0016118373,0.0013589242,0.0012528033,0.004743271,0.0013070368,0.0012490837,0.0015309267,0.001520182,0.0017668093,0.0013051457,0.0012924316,0.002498237,0.0016278517,0.0013020381
activeFlag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
