settlementDate,settlementPeriod,DAM,DAI
2020-12-22,39.0,17932.0,1.0
2020-12-22,40.0,19438.0,73.0
2020-12-22,41.0,20571.0,-231.0
2020-12-22,42.0,21845.0,399.0
2020-12-22,43.0,23237.0,301.0
2020-12-22,44.0,24757.0,456.0
2020-12-22,45.0,26052.0,382.0
2020-12-22,46.0,27460.0,-289.0
2020-12-22,47.0,27787.0,-711.0
2020-12-22,48.0,29232.0,-435.0
2020-12-23,1.0,29593.0,-140.0
2020-12-23,2.0,30110.0,-379.0
2020-12-23,3.0,30887.0,-669.0
2020-12-23,4.0,31635.0,-301.0
2020-12-23,5.0,32086.0,-270.0
2020-12-23,6.0,32381.0,-171.0
2020-12-23,7.0,32033.0,-233.0
2020-12-23,8.0,32558.0,512.0
2020-12-23,9.0,32681.0,151.0
2020-12-23,10.0,32556.0,83.0
2020-12-23,11.0,32265.0,4.0
2020-12-23,12.0,31778.0,48.0
2020-12-23,13.0,30615.0,-244.0
2020-12-23,14.0,28480.0,-648.0
2020-12-23,15.0,26758.0,-18.0
2020-12-23,16.0,25752.0,172.0
2020-12-23,17.0,24021.0,-470.0
2020-12-23,18.0,22907.0,-898.0
2020-12-23,19.0,22040.0,-1123.0
2020-12-23,20.0,21521.0,-613.0
2020-12-23,21.0,21366.0,-175.0
2020-12-23,22.0,20988.0,278.0
2020-12-23,23.0,20869.0,468.0
2020-12-23,24.0,21006.0,767.0
2020-12-23,25.0,21386.0,825.0
2020-12-23,26.0,21570.0,1311.0
2020-12-23,27.0,21786.0,1217.0
2020-12-23,28.0,22450.0,1074.0
2020-12-23,29.0,22308.0,263.0
2020-12-23,30.0,21802.0,-51.0
2020-12-23,31.0,21698.0,593.0
2020-12-23,32.0,21058.0,6.0
2020-12-23,33.0,20031.0,-504.0
2020-12-23,34.0,18746.0,-158.0
2020-12-23,35.0,18337.0,138.0
2020-12-23,36.0,18475.0,291.0
2020-12-23,37.0,18956.0,-68.0
2020-12-23,38.0,19840.0,-44.0
2020-12-23,39.0,21877.0,292.0
2020-12-23,40.0,22970.0,-503.0
2020-12-23,41.0,23347.0,-829.0
2020-12-23,42.0,24222.0,-1104.0
2020-12-23,43.0,24704.0,-1470.0
2020-12-23,44.0,26275.0,-1354.0
2020-12-23,45.0,27139.0,-1545.0
2020-12-23,46.0,28750.0,-1097.0
2020-12-23,47.0,30365.0,-1481.0
2020-12-23,48.0,30941.0,-990.0
2020-12-24,1.0,31368.0,-1433.0
2020-12-24,2.0,31326.0,-1675.0
2020-12-24,3.0,30922.0,-2129.0
2020-12-24,4.0,31554.0,-1263.0
2020-12-24,5.0,32035.0,-858.0
2020-12-24,6.0,32145.0,-628.0
2020-12-24,7.0,30792.0,-1613.0
2020-12-24,8.0,30939.0,-1414.0
2020-12-24,9.0,30686.0,-1650.0
2020-12-24,10.0,30565.0,-1671.0
2020-12-24,11.0,30999.0,-1550.0
2020-12-24,12.0,30789.0,-1796.0
2020-12-24,13.0,31034.0,-1255.0
2020-12-24,14.0,30192.0,-2361.0
2020-12-24,15.0,29607.0,-2629.0
2020-12-24,16.0,28137.0,-2719.0
2020-12-24,17.0,28184.0,-1296.0
2020-12-24,18.0,27775.0,-219.0
2020-12-24,19.0,26503.0,-648.0
2020-12-24,20.0,25429.0,-770.0
2020-12-24,21.0,25289.0,-771.0
2020-12-24,22.0,25134.0,-1203.0
2020-12-24,23.0,25541.0,-967.0
2020-12-24,24.0,25721.0,-918.0
2020-12-24,25.0,26221.0,-143.0
2020-12-24,26.0,26237.0,201.0
2020-12-24,27.0,26302.0,190.0
2020-12-24,28.0,26465.0,294.0
2020-12-24,29.0,26165.0,502.0
2020-12-24,30.0,26019.0,1249.0
2020-12-24,31.0,24879.0,1085.0
2020-12-24,32.0,24181.0,1214.0
2020-12-24,33.0,23618.0,1542.0
2020-12-24,34.0,22399.0,801.0
2020-12-24,35.0,21674.0,73.0
2020-12-24,36.0,21958.0,63.0
2020-12-24,37.0,22549.0,440.0
2020-12-24,38.0,23519.0,702.0
2020-12-24,39.0,24471.0,436.0
2020-12-24,40.0,25373.0,895.0
2020-12-24,41.0,26412.0,1144.0
2020-12-24,42.0,27545.0,559.0
2020-12-24,43.0,28028.0,230.0
2020-12-24,44.0,29279.0,547.0
2020-12-24,45.0,29971.0,201.0
2020-12-24,46.0,30560.0,-330.0
2020-12-24,47.0,31635.0,-595.0
2020-12-24,48.0,32675.0,-343.0
2020-12-25,1.0,33320.0,-699.0
2020-12-25,2.0,33170.0,-1212.0
2020-12-25,3.0,33645.0,-973.0
2020-12-25,4.0,34505.0,-426.0
2020-12-25,5.0,35054.0,-639.0
2020-12-25,6.0,35038.0,-1002.0
2020-12-25,7.0,35408.0,-901.0
2020-12-25,8.0,35682.0,-636.0
2020-12-25,9.0,35443.0,-913.0
2020-12-25,10.0,35406.0,-1000.0
2020-12-25,11.0,35145.0,-1199.0
2020-12-25,12.0,34969.0,-1373.0
2020-12-25,13.0,35097.0,-1348.0
2020-12-25,14.0,34126.0,-1633.0
2020-12-25,15.0,32857.0,-1194.0
2020-12-25,16.0,31888.0,-869.0
2020-12-25,17.0,30414.0,-381.0
2020-12-25,18.0,28629.0,-1124.0
2020-12-25,19.0,27074.0,-829.0
2020-12-25,20.0,26281.0,-874.0
2020-12-25,21.0,25328.0,-814.0
2020-12-25,22.0,25266.0,-468.0
2020-12-25,23.0,25485.0,267.0
2020-12-25,24.0,25072.0,281.0
2020-12-25,25.0,24338.0,193.0
2020-12-25,26.0,23641.0,99.0
2020-12-25,27.0,23452.0,155.0
2020-12-25,28.0,23690.0,68.0
2020-12-25,29.0,22638.0,-992.0
2020-12-25,30.0,22954.0,-314.0
2020-12-25,31.0,23480.0,-75.0
2020-12-25,32.0,24456.0,341.0
2020-12-25,33.0,25082.0,411.0
2020-12-25,34.0,26177.0,909.0
2020-12-25,35.0,26385.0,554.0
2020-12-25,36.0,27156.0,1164.0
2020-12-25,37.0,28013.0,1578.0
2020-12-25,38.0,28545.0,1225.0
2020-12-25,39.0,28874.0,90.0
2020-12-25,40.0,28821.0,-1550.0
2020-12-25,41.0,28958.0,-1900.0
2020-12-25,42.0,29622.0,-1293.0
2020-12-25,43.0,30803.0,-1057.0
2020-12-25,44.0,31188.0,-1814.0
