settlementDate,settlementPeriod,System total load Consumption
2020-12-23,30.0,37664.0
2020-12-23,31.0,37789.0
2020-12-23,32.0,38955.0
2020-12-23,33.0,40750.0
2020-12-23,34.0,41410.0
2020-12-23,35.0,41404.0
2020-12-23,36.0,41299.0
2020-12-23,37.0,40841.0
2020-12-23,38.0,40033.0
2020-12-23,39.0,38916.0
2020-12-23,40.0,37972.0
2020-12-23,41.0,37028.0
2020-12-23,42.0,35671.0
2020-12-23,43.0,33868.0
2020-12-23,44.0,31965.0
2020-12-23,45.0,30404.0
2020-12-23,46.0,28792.0
2020-12-23,47.0,27193.0
2020-12-23,48.0,25886.0
2020-12-24,1.0,26249.0
2020-12-24,2.0,26298.0
2020-12-24,3.0,25712.0
2020-12-24,4.0,24890.0
2020-12-24,5.0,24436.0
2020-12-24,6.0,24125.0
2020-12-24,7.0,23753.0
2020-12-24,8.0,23657.0
2020-12-24,9.0,23622.0
2020-12-24,10.0,23744.0
2020-12-24,11.0,24239.0
2020-12-24,12.0,25620.0
2020-12-24,13.0,27423.0
2020-12-24,14.0,29159.0
2020-12-24,15.0,30815.0
2020-12-24,16.0,32187.0
2020-12-24,17.0,33597.0
2020-12-24,18.0,34715.0
2020-12-24,19.0,35523.0
2020-12-24,20.0,36017.0
2020-12-24,21.0,36390.0
2020-12-24,22.0,36944.0
2020-12-24,23.0,37416.0
2020-12-24,24.0,37547.0
2020-12-24,25.0,37264.0
2020-12-24,26.0,36652.0
2020-12-24,27.0,36031.0
2020-12-24,28.0,35439.0
2020-12-24,29.0,34817.0
2020-12-24,30.0,34342.0
2020-12-24,31.0,34180.0
2020-12-24,32.0,35233.0
2020-12-24,33.0,37269.0
2020-12-24,34.0,38338.0
2020-12-24,35.0,38441.0
2020-12-24,36.0,38032.0
2020-12-24,37.0,37153.0
2020-12-24,38.0,36256.0
2020-12-24,39.0,35140.0
2020-12-24,40.0,34074.0
2020-12-24,41.0,33000.0
2020-12-24,42.0,31860.0
2020-12-24,43.0,30881.0
2020-12-24,44.0,29713.0
2020-12-24,45.0,28665.0
2020-12-24,46.0,27347.0
2020-12-24,47.0,26002.0
2020-12-24,48.0,25396.0
2020-12-25,1.0,25900.0
2020-12-25,2.0,25877.0
2020-12-25,3.0,25246.0
2020-12-25,4.0,24416.0
2020-12-25,5.0,23886.0
2020-12-25,6.0,23531.0
2020-12-25,7.0,23159.0
2020-12-25,8.0,22795.0
2020-12-25,9.0,22577.0
2020-12-25,10.0,22611.0
2020-12-25,11.0,22879.0
2020-12-25,12.0,23627.0
2020-12-25,13.0,24663.0
2020-12-25,14.0,25927.0
2020-12-25,15.0,27360.0
2020-12-25,16.0,28871.0
2020-12-25,17.0,30868.0
2020-12-25,18.0,32876.0
2020-12-25,19.0,34514.0
2020-12-25,20.0,35727.0
2020-12-25,21.0,36610.0
2020-12-25,22.0,37336.0
2020-12-25,23.0,37916.0
2020-12-25,24.0,38288.0
2020-12-25,25.0,38532.0
2020-12-25,26.0,38623.0
2020-12-25,27.0,38083.0
2020-12-25,28.0,37127.0
2020-12-25,29.0,35984.0
2020-12-25,30.0,34624.0
2020-12-25,31.0,33551.0
2020-12-25,32.0,33070.0
2020-12-25,33.0,32841.0
2020-12-25,34.0,32391.0
2020-12-25,35.0,31785.0
2020-12-25,36.0,31075.0
2020-12-25,37.0,30592.0
2020-12-25,38.0,30220.0
2020-12-25,39.0,29867.0
2020-12-25,40.0,29558.0
2020-12-25,41.0,29082.0
2020-12-25,42.0,28618.0
2020-12-25,43.0,28051.0
2020-12-25,44.0,27270.0
2020-12-25,45.0,26742.0
2020-12-25,46.0,26125.0
2020-12-25,47.0,25346.0
2020-12-25,48.0,24912.0
2020-12-26,1.0,24697.0
2020-12-26,2.0,24624.0
2020-12-26,3.0,23888.0
2020-12-26,4.0,23033.0
2020-12-26,5.0,22510.0
2020-12-26,6.0,21985.0
2020-12-26,7.0,21351.0
2020-12-26,8.0,20894.0
2020-12-26,9.0,20674.0
2020-12-26,10.0,20598.0
2020-12-26,11.0,20571.0
2020-12-26,12.0,20819.0
2020-12-26,13.0,21226.0
2020-12-26,14.0,21831.0
2020-12-26,15.0,22555.0
2020-12-26,16.0,23464.0
2020-12-26,17.0,24749.0
2020-12-26,18.0,26196.0
2020-12-26,19.0,27652.0
2020-12-26,20.0,28831.0
2020-12-26,21.0,29853.0
2020-12-26,22.0,30716.0
2020-12-26,23.0,31391.0
2020-12-26,24.0,31903.0
2020-12-26,25.0,31991.0
2020-12-26,26.0,31591.0
2020-12-26,27.0,31074.0
2020-12-26,28.0,30564.0
2020-12-26,29.0,30053.0
2020-12-26,30.0,29775.0
2020-12-26,31.0,29974.0
2020-12-26,32.0,30996.0
2020-12-26,33.0,32242.0
2020-12-26,34.0,32812.0
2020-12-26,35.0,32780.0
2020-12-26,36.0,32273.0
2020-12-26,37.0,31702.0
2020-12-26,38.0,31162.0
2020-12-26,39.0,30422.0
2020-12-26,40.0,29699.0
2020-12-26,41.0,29003.0
2020-12-26,42.0,28344.0
2020-12-26,43.0,27709.0
2020-12-26,44.0,26922.0
2020-12-26,45.0,26252.0
2020-12-26,46.0,25476.0
2020-12-26,47.0,24495.0
2020-12-26,48.0,24560.0
2020-12-27,1.0,24618.0
2020-12-27,2.0,24397.0
2020-12-27,3.0,23756.0
2020-12-27,4.0,23002.0
2020-12-27,5.0,22668.0
2020-12-27,6.0,22426.0
2020-12-27,7.0,21949.0
2020-12-27,8.0,21563.0
2020-12-27,9.0,21306.0
2020-12-27,10.0,21272.0
2020-12-27,11.0,21457.0
2020-12-27,12.0,21945.0
2020-12-27,13.0,22633.0
2020-12-27,14.0,23484.0
2020-12-27,15.0,24474.0
2020-12-27,16.0,25621.0
2020-12-27,17.0,27135.0
2020-12-27,18.0,28824.0
2020-12-27,19.0,30583.0
2020-12-27,20.0,32095.0
2020-12-27,21.0,33372.0
2020-12-27,22.0,34286.0
2020-12-27,23.0,34726.0
2020-12-27,24.0,34859.0
2020-12-27,25.0,34852.0
2020-12-27,26.0,34809.0
2020-12-27,27.0,34456.0
2020-12-27,28.0,34021.0
2020-12-27,29.0,33583.0
2020-12-27,30.0,33148.0
2020-12-27,31.0,33220.0
2020-12-27,32.0,34470.0
2020-12-27,33.0,36272.0
2020-12-27,34.0,37272.0
2020-12-27,35.0,37565.0
2020-12-27,36.0,37271.0
2020-12-27,37.0,36868.0
2020-12-27,38.0,36375.0
2020-12-27,39.0,35504.0
2020-12-27,40.0,34714.0
2020-12-27,41.0,33958.0
2020-12-27,42.0,32909.0
2020-12-27,43.0,31665.0
2020-12-27,44.0,30341.0
2020-12-27,45.0,29106.0
2020-12-27,46.0,27655.0
2020-12-27,47.0,26036.0
2020-12-27,48.0,25911.0
2020-12-28,1.0,25423.0
2020-12-28,2.0,25834.0
2020-12-28,3.0,25204.0
2020-12-28,4.0,24391.0
2020-12-28,5.0,23967.0
2020-12-28,6.0,23707.0
2020-12-28,7.0,23256.0
2020-12-28,8.0,22928.0
2020-12-28,9.0,22919.0
2020-12-28,10.0,22981.0
2020-12-28,11.0,23080.0
2020-12-28,12.0,23846.0
2020-12-28,13.0,24915.0
2020-12-28,14.0,25864.0
2020-12-28,15.0,26716.0
2020-12-28,16.0,27807.0
2020-12-28,17.0,29214.0
2020-12-28,18.0,30558.0
2020-12-28,19.0,31918.0
2020-12-28,20.0,33084.0
2020-12-28,21.0,33991.0
2020-12-28,22.0,34577.0
2020-12-28,23.0,35088.0
2020-12-28,24.0,35636.0
2020-12-28,25.0,36035.0
2020-12-28,26.0,36125.0
2020-12-28,27.0,35929.0
2020-12-28,28.0,35694.0
2020-12-28,29.0,35362.0
2020-12-28,30.0,35054.0
2020-12-28,31.0,35262.0
2020-12-28,32.0,36745.0
2020-12-28,33.0,38969.0
2020-12-28,34.0,40279.0
2020-12-28,35.0,40506.0
2020-12-28,36.0,40123.0
2020-12-28,37.0,39427.0
2020-12-28,38.0,38521.0
2020-12-28,39.0,37617.0
2020-12-28,40.0,36742.0
2020-12-28,41.0,35631.0
2020-12-28,42.0,34528.0
2020-12-28,43.0,33237.0
2020-12-28,44.0,31630.0
2020-12-28,45.0,30286.0
2020-12-28,46.0,28690.0
2020-12-28,47.0,27049.0
2020-12-28,48.0,26591.0
2020-12-29,1.0,26953.0
2020-12-29,2.0,27132.0
2020-12-29,3.0,26421.0
2020-12-29,4.0,25572.0
2020-12-29,5.0,25294.0
2020-12-29,6.0,24995.0
2020-12-29,7.0,24427.0
2020-12-29,8.0,24194.0
2020-12-29,9.0,24039.0
2020-12-29,10.0,24187.0
2020-12-29,11.0,24897.0
2020-12-29,12.0,26459.0
2020-12-29,13.0,28285.0
2020-12-29,14.0,29878.0
2020-12-29,15.0,31237.0
2020-12-29,16.0,32504.0
2020-12-29,17.0,33797.0
2020-12-29,18.0,35231.0
2020-12-29,19.0,36539.0
2020-12-29,20.0,37021.0
2020-12-29,21.0,37249.0
2020-12-29,22.0,37353.0
2020-12-29,23.0,37366.0
2020-12-29,24.0,37490.0
2020-12-29,25.0,37511.0
2020-12-29,26.0,37485.0
2020-12-29,27.0,37283.0
2020-12-29,28.0,36945.0
2020-12-29,29.0,36631.0
2020-12-29,30.0,36388.0
2020-12-29,31.0,36459.0
2020-12-29,32.0,37544.0
2020-12-29,33.0,39846.0
2020-12-29,34.0,41219.0
2020-12-29,35.0,41432.0
2020-12-29,36.0,41230.0
2020-12-29,37.0,40636.0
2020-12-29,38.0,39867.0
2020-12-29,39.0,38763.0
2020-12-29,40.0,37767.0
2020-12-29,41.0,36667.0
2020-12-29,42.0,35422.0
2020-12-29,43.0,34221.0
2020-12-29,44.0,32701.0
2020-12-29,45.0,31328.0
2020-12-29,46.0,29839.0
2020-12-29,47.0,28210.0
2020-12-29,48.0,27466.0
2020-12-30,1.0,27618.0
2020-12-30,2.0,27622.0
2020-12-30,3.0,27082.0
2020-12-30,4.0,26341.0
2020-12-30,5.0,25978.0
2020-12-30,6.0,25676.0
2020-12-30,7.0,25240.0
2020-12-30,8.0,24946.0
2020-12-30,9.0,24939.0
2020-12-30,10.0,25198.0
2020-12-30,11.0,25544.0
2020-12-30,12.0,26753.0
2020-12-30,13.0,28442.0
2020-12-30,14.0,30163.0
2020-12-30,15.0,31748.0
2020-12-30,16.0,33142.0
2020-12-30,17.0,34860.0
2020-12-30,18.0,36415.0
2020-12-30,19.0,37645.0
2020-12-30,20.0,38491.0
2020-12-30,21.0,39321.0
2020-12-30,22.0,40063.0
2020-12-30,23.0,40400.0
2020-12-30,24.0,40631.0
2020-12-30,25.0,40836.0
2020-12-30,26.0,40668.0
2020-12-30,27.0,40132.0
2020-12-30,28.0,39571.0
2020-12-30,29.0,39063.0
2020-12-30,30.0,38649.0
2020-12-30,31.0,38662.0
2020-12-30,32.0,39883.0
2020-12-30,33.0,41839.0
2020-12-30,34.0,43139.0
2020-12-30,35.0,43602.0
2020-12-30,36.0,43353.0
2020-12-30,37.0,42777.0
2020-12-30,38.0,42157.0
2020-12-30,39.0,41155.0
2020-12-30,40.0,39931.0
2020-12-30,41.0,38454.0
2020-12-30,42.0,36890.0
2020-12-30,43.0,35494.0
2020-12-30,44.0,33907.0
