settlementDate,settlementPeriod,Solar generation,Wind Offshore generation,Wind Onshore generation
2020-12-22,15.0,0.0,3973.799,3746.396
2020-12-22,16.0,0.0,3973.799,3746.396
2020-12-22,17.0,33.0,3193.368,3552.219
2020-12-22,18.0,131.0,3193.368,3552.219
2020-12-22,19.0,319.0,2499.101,3406.099
2020-12-22,20.0,565.0,2499.101,3406.099
2020-12-22,21.0,820.0,2109.185,3303.298
2020-12-22,22.0,1035.0,2109.185,3303.298
2020-12-22,23.0,1166.0,1812.484,3180.615
2020-12-22,24.0,1211.0,1812.484,3180.615
2020-12-22,25.0,1177.0,1574.17,3054.075
2020-12-22,26.0,1055.0,1574.17,3054.075
2020-12-22,27.0,845.0,1291.528,2899.908
2020-12-22,28.0,599.0,1291.528,2899.908
2020-12-22,29.0,373.0,1035.997,2556.279
2020-12-22,30.0,190.0,1035.997,2556.279
2020-12-22,31.0,64.0,808.008,2316.327
2020-12-22,32.0,0.0,808.008,2316.327
2020-12-22,33.0,0.0,643.731,2046.527
2020-12-22,34.0,0.0,643.731,2046.527
2020-12-22,35.0,0.0,586.996,1813.342
2020-12-22,36.0,0.0,586.996,1813.342
2020-12-22,37.0,0.0,536.765,1656.909
2020-12-22,38.0,0.0,536.765,1656.909
2020-12-22,39.0,0.0,542.534,1499.075
2020-12-22,40.0,0.0,542.534,1499.075
2020-12-22,41.0,0.0,583.097,1354.005
2020-12-22,42.0,0.0,583.097,1354.005
2020-12-22,43.0,0.0,614.901,1269.74
2020-12-22,44.0,0.0,614.901,1269.74
2020-12-22,45.0,0.0,703.041,1216.69
2020-12-22,46.0,0.0,703.041,1216.69
2020-12-22,47.0,0.0,782.181,1160.054
2020-12-22,48.0,0.0,782.181,1160.054
2020-12-23,1.0,0.0,799.961,802.617
2020-12-23,2.0,0.0,799.961,802.617
2020-12-23,3.0,0.0,928.153,809.57
2020-12-23,4.0,0.0,928.153,809.57
2020-12-23,5.0,0.0,1142.893,831.116
