settlementDate,settlementPeriod,Generation forecast Production
2020-12-23,31.0,36372.0
2020-12-23,32.0,36688.0
2020-12-23,33.0,37267.0
2020-12-23,34.0,37583.0
2020-12-23,35.0,38151.0
2020-12-23,36.0,37732.0
2020-12-23,37.0,37425.0
2020-12-23,38.0,37278.0
2020-12-23,39.0,36258.0
2020-12-23,40.0,34931.0
2020-12-23,41.0,33321.0
2020-12-23,42.0,32168.0
2020-12-23,43.0,30805.0
2020-12-23,44.0,29679.0
2020-12-23,45.0,27827.0
2020-12-23,46.0,26267.0
2020-12-23,47.0,25080.0
2020-12-23,48.0,25100.0
2020-12-24,1.0,23196.0
2020-12-24,2.0,23619.0
2020-12-24,3.0,23816.0
2020-12-24,4.0,23936.0
2020-12-24,5.0,24092.0
2020-12-24,6.0,24183.0
2020-12-24,7.0,24275.0
2020-12-24,8.0,24336.0
2020-12-24,9.0,24375.0
2020-12-24,10.0,24479.0
2020-12-24,11.0,24802.0
2020-12-24,12.0,25156.0
2020-12-24,13.0,25781.0
2020-12-24,14.0,26842.0
2020-12-24,15.0,28547.0
2020-12-24,16.0,29753.0
2020-12-24,17.0,31160.0
2020-12-24,18.0,32155.0
2020-12-24,19.0,33467.0
2020-12-24,20.0,34288.0
2020-12-24,21.0,34606.0
2020-12-24,22.0,34913.0
2020-12-24,23.0,35171.0
2020-12-24,24.0,35306.0
2020-12-24,25.0,35309.0
2020-12-24,26.0,35162.0
2020-12-24,27.0,34816.0
2020-12-24,28.0,34515.0
2020-12-24,29.0,34305.0
2020-12-24,30.0,33933.0
2020-12-24,31.0,33880.0
2020-12-24,32.0,35133.0
2020-12-24,33.0,36287.0
2020-12-24,34.0,36257.0
2020-12-24,35.0,36241.0
2020-12-24,36.0,36038.0
2020-12-24,37.0,35693.0
2020-12-24,38.0,35398.0
2020-12-24,39.0,34819.0
2020-12-24,40.0,34507.0
2020-12-24,41.0,33311.0
2020-12-24,42.0,31743.0
2020-12-24,43.0,30952.0
2020-12-24,44.0,29906.0
2020-12-24,45.0,28072.0
2020-12-24,46.0,26643.0
2020-12-24,47.0,22884.0
2020-12-24,48.0,20621.0
2020-12-25,1.0,21882.0
2020-12-25,2.0,21708.0
2020-12-25,3.0,21607.0
2020-12-25,4.0,21438.0
2020-12-25,5.0,21323.0
2020-12-25,6.0,21179.0
2020-12-25,7.0,21061.0
2020-12-25,8.0,20950.0
2020-12-25,9.0,20879.0
2020-12-25,10.0,20813.0
2020-12-25,11.0,20773.0
2020-12-25,12.0,20897.0
2020-12-25,13.0,21614.0
2020-12-25,14.0,22612.0
2020-12-25,15.0,24308.0
2020-12-25,16.0,26296.0
2020-12-25,17.0,28787.0
2020-12-25,18.0,30288.0
2020-12-25,19.0,32327.0
2020-12-25,20.0,33892.0
2020-12-25,21.0,34940.0
2020-12-25,22.0,35569.0
2020-12-25,23.0,35977.0
2020-12-25,24.0,36205.0
2020-12-25,25.0,36467.0
2020-12-25,26.0,36421.0
2020-12-25,27.0,36431.0
2020-12-25,28.0,36171.0
2020-12-25,29.0,35496.0
2020-12-25,30.0,34616.0
2020-12-25,31.0,32942.0
2020-12-25,32.0,31962.0
2020-12-25,33.0,32062.0
2020-12-25,34.0,32304.0
2020-12-25,35.0,32356.0
2020-12-25,36.0,32219.0
2020-12-25,37.0,31521.0
2020-12-25,38.0,31118.0
