BMU Type,BMU ID,BMU Fuel Type,BMU GSP Group Id,LOC LAT,LOC LONG,BMU Party ID,Trading Unit,PC Flag,PC Status,Transmission Loss Factor,Generation Capacity,Demand Capacity,Exempt Export Flag,Base TU Flag,FPN Flag
2,2__ESTAT001,OTHER,_E,52.2796948219992,-1.97621552847919,Statkraft Markets Gmbh,DEFAULT__E,Dynamic,Consumption (C),0.0097251,20.0,-2.0,0,1,1
E,E_CHTRY-1,OTHER,_E,53.07677,-2.177474,Conrad Energy (Trading),DEFAULT__E,Consumption (C),Consumption (C),0.0097251,20.0,0.0,1,1,1
2,2__EUKPR001,OTHER,_E,52.2796948219992,-1.97621552847919,UK Power Reserve Limited,DEFAULT__E,Dynamic,Consumption (C),0.0097251,20.0,-2.0,0,1,1
2,2__EFLEX003,OTHER,_E,52.2796948219992,-1.97621552847919,Flexitricity Limited,DEFAULT__E,Dynamic,Consumption (C),0.0097251,49.0,0.0,0,1,1
V,V__EADEL001,OTHER,_E,52.2796948219992,-1.97621552847919,Adela Energy Ltd,Non-TrUnit,Production (P),Production (P),0.0097251,0.0,0.0,0,0,1
V,V__EGAZP001,OTHER,_E,52.9704514903061,-2.16769648323097,SEFE Marketing & Trading LTD,Non-TrUnit,Consumption (C),Consumption (C),0.0148608,0.0,0.0,0,0,1
2,2__ESTAT002,OTHER,_E,52.2796948219992,-1.97621552847919,Statkraft Markets Gmbh,DEFAULT__E,Dynamic,Consumption (C),0.0097251,4.0,0.0,0,1,1
E,E_POTES-1,BATTERY,_F,54.9792809360931,-1.44645087794649,Arenko Cleantech Limited,DEFAULT__F,Consumption (C),Consumption (C),-0.0077906,35.0,-35.0,1,1,1
2,2__FFLEX001,OTHER,_F,54.6654853376983,-1.7377340766302,Flexitricity Limited,DEFAULT__F,Dynamic,Consumption (C),-0.007074,49.0,0.0,0,1,1
2,2__FSTAT001,OTHER,_F,54.6654853376983,-1.7377340766302,Statkraft Markets Gmbh,DEFAULT__F,Dynamic,Consumption (C),-0.0077906,50.0,-2.0,0,1,1
2,2__FSTAT002,OTHER,_F,54.6654853376983,-1.7377340766302,Statkraft Markets Gmbh,DEFAULT__F,Dynamic,Consumption (C),-0.0077906,50.0,-2.0,0,1,1
2,2__FFSEN005,BATTERY,_F,54.6654853376983,-1.7377340766302,F & S Energy Ltd,DEFAULT__F,Dynamic,Consumption (C),-0.0077906,11.779,-23.922,0,1,1
E,E_VKING-2,CCGT,_F,54.608850900761,-1.20087636721511,Whitetower Energy Limited,DEFAULT__F,Production (P),Production (P),0.0221547,50.0,-366.184,1,1,1
2,2__FSTAT003,OTHER,_F,54.6654853376983,-1.7377340766302,Statkraft Markets Gmbh,DEFAULT__F,Dynamic,Consumption (C),-0.007074,50.0,0.0,0,1,1
T,T_WLNYW-1,WIND,_G,54.034616307247,-3.50266570658268,Walney Offshore Windfarms Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,182.0,-2.0,0,0,1
T,T_RRWW-1,WIND,_G,54.8146016203073,-3.64262957250097,RWE Renewables UK Robin Rigg,Non-TrUnit,Production (P),Production (P),-0.0021672,90.0,-6.0,1,0,1
T,T_BOWLW-1,WIND,_G,54.0106763774685,-3.32273035741533,Barrow Offshore Wind Limited,Non-TrUnit,Production (P),Production (P),-0.0088864,90.0,-2.0,1,0,1
T,T_OMNDW-1,WIND,_G,54.0414708803333,-3.35806444546254,Ormonde Energy Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,150.76,0.0,0,0,1
T,T_WLNYO-2,WIND,_G,54.034616307247,-3.50266570658268,Walney Offshore Windfarms Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,183.6,-2.886,0,0,1
T,T_CARR-1,CCGT,_G,53.4369586224557,-2.40821172490019,Carrington Power Ltd,Non-TrUnit,Dynamic,Production (P),-0.002826,470.0,-10.0,0,0,1
T,T_CARR-2,CCGT,_G,53.4369586224557,-2.40821172490019,Carrington Power Ltd,Non-TrUnit,Dynamic,Production (P),-0.002826,470.0,-10.0,0,0,1
T,T_WDNSO-1,WIND,_G,53.98,-3.46,Morecambe Wind Limited,Non-TrUnit,Dynamic,Production (P),-0.0021672,196.848,-5.0,0,0,1
T,T_WDNSO-2,WIND,_G,53.98,-3.46,Morecambe Wind Limited,Non-TrUnit,Dynamic,Production (P),-0.0021672,196.688,-5.0,0,0,1
T,T_WLNYO-3,WIND,_G,54.034616307247,-3.50266570658268,Walney Extension Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,330.0,-3.0,0,0,1
T,T_WLNYO-4,WIND,_G,54.034616307247,-3.50266570658268,Walney Extension Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,330.0,-3.94,0,0,1
2,2__GANGE001,OTHER,_G,54.1274635690884,-2.76997515496618,Limejump Energy Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,50.0,-2.1,0,1,1
E,E_ROOSB-1,BATTERY,_G,54.1052911894526,-3.18997854383859,CBS ENERGY STORAGE ASSETS LTD,DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,49.0,-49.0,1,1,1
E,E_GOSHS-1,OTHER,_G,53.7067171920374,-2.46760025834573,Conrad Energy (Trading),DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,20.0,-1.0,1,1,1
E,E_MORFL-1,OTHER,_G,54.1274635690884,-2.76997515496618,Conrad Energy (Trading),DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,20.0,-1.0,1,1,1
E,E_RAKE-1,OTHER,_G,54.1274635690884,-2.76997515496618,Conrad Energy (Trading),DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,20.0,-1.0,1,1,1
